Id,SalePrice
1461,120268.45246299538
1462,140137.12740382398
1463,162318.92958635784
1464,179882.29468782916
1465,197474.57101896527
1466,174366.0725976525
1467,160934.16996098374
1468,167215.59368793867
1469,190436.1921365994
1470,118277.42936578335
1471,194962.72998489786
1472,95805.29920413959
1473,97310.7147969341
1474,157622.60367433412
1475,132458.2975998336
1476,348380.37378700165
1477,242926.9184993367
1478,316837.38173029677
1479,293992.42618108244
1480,473642.25967416563
1481,310588.52896711
1482,207505.26773667612
1483,170442.13219358068
1484,168705.32639869378
1485,166174.68443488845
1486,187584.4004553843
1487,308219.4973130826
1488,255245.40210837396
1489,195135.75389138042
1490,186072.7870006579
1491,186691.47658093722
1492,117264.84683432741
1493,181787.1804961829
1494,320838.9545121582
1495,293102.6151535811
1496,209493.3814242051
1497,196549.31966982444
1498,154365.2360477159
1499,151856.43864304895
1500,144062.34540115157
1501,166413.39386407775
1502,143898.9989709856
1503,230300.8462712925
1504,230175.10195056317
1505,216713.43315491706
1506,193899.9229375364
1507,209430.61230769334
1508,195144.4440856434
1509,159437.34912952138
1510,136131.52453123184
1511,139809.24713942924
1512,162608.28113129077
1513,158125.86322954053
1514,146306.73020659518
1515,187847.7413469002
1516,171342.82019726708
1517,140068.34265436896
1518,156332.22738748186
1519,215708.07434898685
1520,136610.1337336014
1521,141788.6206652983
1522,180270.87683154896
1523,111847.52215592057
1524,117701.24496349899
1525,125288.66211075561
1526,123505.66792920305
1527,106256.78499314288
1528,119669.15209232032
1529,143057.49492720273
1530,161530.972723598
1531,145388.08177392924
1532,101847.23642915866
1533,148354.01536329798
1534,120803.88827595816
1535,141585.41044136888
1536,128184.56128054511
1537,105360.02137312178
1538,156839.18165215311
1539,211892.03694359664
1540,130399.48382773325
1541,156184.54727107313
1542,131909.78415782325
1543,197972.17815557684
1544,86712.78748641405
1545,96713.21802153638
1546,132421.77640476238
1547,130930.01614093976
1548,130247.36359211316
1549,101680.5250886579
1550,160817.6361268993
1551,137038.83549103345
1552,154969.75815461174
1553,117838.4057455696
1554,103016.74064189212
1555,159115.42280367238
1556,101169.1708158571
1557,126706.21888188842
1558,94973.39173204881
1559,106475.12166139213
1560,161197.53150710065
1561,144106.08242720182
1562,115256.54677194347
1563,117868.64697707398
1564,166973.4743462168
1565,143420.2629948501
1566,209273.8302561005
1567,92585.98362345701
1568,201567.87105222754
1569,130781.0286986977
1570,124317.11443126104
1571,130576.98448679582
1572,129079.29117509493
1573,222831.05473713533
1574,149496.93226374735
1575,203331.4285764496
1576,190451.7409882166
1577,190243.80741873867
1578,158731.83244040515
1579,136258.33712800426
1580,185387.7662577552
1581,128229.64720329862
1582,129056.45192503226
1583,351153.8529271581
1584,241977.9409811698
1585,140342.0634852845
1586,70598.57920679201
1587,103644.48286204215
1588,132526.07686440056
1589,111609.52490052357
1590,134045.9970695411
1591,92890.22604802492
1592,138881.6612396727
1593,134911.94999731437
1594,121686.34406092875
1595,127139.07334679562
1596,224250.0261089184
1597,150117.80564845385
1598,169313.53876139285
1599,170409.08284861216
1600,191711.9264735812
1601,60155.83011926467
1602,113583.86300553087
1603,110223.19891101534
1604,270000.696055026
1605,258793.5209112453
1606,170655.2919384511
1607,211783.00210708508
1608,216207.71664097707
1609,182385.22737765114
1610,132485.35160152405
1611,150791.54721292204
1612,158701.76937751216
1613,168388.02509561606
1614,121312.5892134878
1615,71999.23630407485
1616,71999.23630407485
1617,81598.9654242588
1618,119272.78410234182
1619,125936.68485575348
1620,163242.0314201546
1621,107001.00779519668
1622,128584.92700981276
1623,271543.2240603699
1624,188406.32588565472
1625,122715.27911790725
1626,182078.40848754736
1627,178429.5911692805
1628,265315.77920388314
1629,170446.71998955763
1630,288595.83648265636
1631,208782.03311395366
1632,247244.8763291868
1633,163709.67548360137
1634,176024.40621280996
1635,173952.28944493196
1636,163558.2189610688
1637,173706.5764384425
1638,224845.6201446045
1639,182987.75054315163
1640,249257.83971164623
1641,181912.88935371695
1642,222150.80290393854
1643,240852.6084547866
1644,222142.26022613788
1645,185809.8258538373
1646,155557.34269389912
1647,177119.61002302016
1648,141437.9692016803
1649,131281.95301203965
1650,117199.7285158101
1651,117199.7285158101
1652,95805.29920413959
1653,96072.49799924849
1654,174284.35875239832
1655,160344.83716637036
1656,157622.60367433412
1657,174284.35875239832
1658,157622.60367433412
1659,131267.83641263584
1660,141407.89978932551
1661,438850.21616184915
1662,339433.6124915432
1663,384074.3169487231
1664,419580.7715963654
1665,331245.2545412702
1666,285673.9856051876
1667,300303.5991064729
1668,315876.06117707246
1669,271568.84240905265
1670,322702.4336401897
1671,246819.83139283967
1672,454814.5956139094
1673,304466.4057029485
1674,260757.36649172002
1675,179345.06740971166
1676,180685.70535473814
1677,200537.03309731852
1678,426319.6093279479
1679,338279.2899202899
1680,300233.51230604836
1681,222142.3704298968
1682,294516.2341438245
1683,192046.43153333492
1684,169184.12082394026
1685,174719.51318738365
1686,173774.50666119202
1687,162948.7533664757
1688,189087.6483598583
1689,184520.8323779631
1690,179265.92131377305
1691,163709.23415447658
1692,251630.40422715718
1693,161536.5230690693
1694,176637.37392848154
